video_id,create_time,description,text_language,author_id,author_name,author_followers,views,likes,comments,shares,music_title,video_duration,challenges,hashtags,is_ad,video_bitrate
7385584091564952850,2024-06-28 22:58:22,EWEADN V99 với 3 mode kết nối bản trắng sương mù ⌨️ #keyboard #keyboardasmr #banphimco #banphimgaming #xuhuong #khaisangcongnghe ,vi,7293119316415874055,Khai sáng công nghệ,179300,3600000,142100,788,10300,nhạc nền - Khai sáng công nghệ,20,"keyboard, keyboardasmr, banphimco, banphimgaming, xuhuong, khaisangcongnghe","keyboard, keyboardasmr, banphimco, banphimgaming, xuhuong, khaisangcongnghe",False,660630
7302218546585570561,2023-11-17 07:17:34,"Bàn phím cơ, led RGB. Chơi game êm tay hoặc làm việc đều phù hợp #banphimco #phukiencongnghe #phukienmaytinh #xuhuong #xuhuongcongnghe #xuhuongtiktok #congnghe #phukienpc #banphimcokhongday #banphimgaming ",vi,7255577659001373701,Trùm Công Nghệ,1647,128100,1258,37,109,nhạc nền - Trùm Công Nghệ,9,"banphimco, phukiencongnghe, phukienmaytinh, xuhuong, xuhuongcongnghe, xuhuongtiktok, congnghe, phukienpc, banphimcokhongday, banphimgaming","banphimco, phukiencongnghe, phukienmaytinh, xuhuong, xuhuongcongnghe, xuhuongtiktok, congnghe, phukienpc, banphimcokhongday, banphimgaming",False,1289225
7193901546533309722,2023-01-29 09:52:14,Bàn phím bluetooth cho máy tính bảng vad đthoai nè 🍊  #banphim #banphimco #xh #xuhuong #trending #viral #fyp #banphimbluetooth #banphimlogitech #logitech ,vi,7159216176656286747,Kẹo mút cam 🍊,1856,24500,183,3,24,Orange Soda,15,"banphim, banphimco, xh, xuhuong, trending, viral, fyp, banphimbluetooth, banphimlogitech, logitech","banphim, banphimco, xh, xuhuong, trending, viral, fyp, banphimbluetooth, banphimlogitech, logitech",False,1191313
7453709882936757522,2024-12-29 13:01:14,Mẫu bàn phím cơ FL980 bản màu xanh ngọc khiến anh em không thể bị đụng hàng #banphim #fl980 #banphimgaming #banphimco #keyboard ,vi,7388475733604500485,TechCo Shop,32900,52400,1789,38,76,nhạc nền - TechCo Shop,9,"banphim, fl980, banphimgaming, banphimco, keyboard","banphim, fl980, banphimgaming, banphimco, keyboard",False,1280876
7022984948353158427,2021-10-25 19:48:26,Trả lời @vn95359543777 Bàn phím cơ dành cho mấy bạn nữ 💕 #gaming #pcgaming #keyboard #banphimco,vi,61501887908237312,Dung Đào 🍑,2700000,212100,7327,147,238,nhạc nền - Dung Đào 🍑,23,"gaming, pcgaming, keyboard, banphimco",", gaming, pcgaming, keyboard, banphimco",False,1330029
7292228850010819841,2023-10-21 09:12:24,Bàn phím xinh xinh màu pastel 😍😍😍 #kimunboxx #unboxing #banphimco #xuhuong2023 #foryou ,vi,7231731637410890757,ღ 𝓑𝓪̀ 𝓚𝓲𝓶 ‿✿,1561,243600,3819,132,235,Fern,26,"kimunboxx, unboxing, banphimco, xuhuong2023, foryou","kimunboxx, unboxing, banphimco, xuhuong2023, foryou",False,1490707
7080854881371737370,2022-03-30 18:33:20,Unbox phím cơ cho người hướng nội 😳😳 #thanhcongnghe #learnontiktok #haiichieu #gaming,vi,6537059531963809793,Đặng Nam Hải Triều✅,3300000,857700,74800,224,241,nhạc nền - Đặng Nam Hải Triều,36,"thanhcongnghe, learnontiktok, haiichieu, gaming","thanhcongnghe, learnontiktok, haiichieu, gaming",False,908018
7307154021855382786,2023-11-30 14:29:40,Bàn phím nhon nhất của corsair mà tộc trưởng dùng mà giá hơi chua ae ko đu được 🤣🤣#review #botocmixigaming #refundgaming #domixigaming #domixi #pc #pcgaming #banphimco #corsair ,vi,6990339398521193498,Edm chill,508,194400,2288,53,30,nhạc nền - Edm chill,88,"review, botocmixigaming, refundgaming, domixigaming, domixi, pc, pcgaming, banphimco, corsair","review, botocmixigaming, refundgaming, domixigaming, domixi, pc, pcgaming, banphimco, corsair",False,639985
7295656023493283080,2023-10-30 14:51:31,So sánb âm thanh khi gõ của 2 bàn phím cơ Blue Switch và Red Switch #TikTokAwardsVN2023 #xuhuong #reviewbanphim #banphimbluetooth #banphimco #mofiivietnamofficial #mofii #banphimgaming #Master2023byTikTok ,vi,7110123372613485570,MIYU HLD,7816,10000,47,2,4,nhạc nền - MOFII VIỆT NAM,22,"tiktokawardsvn2023, xuhuong, reviewbanphim, banphimbluetooth, banphimco, mofiivietnamofficial, mofii, banphimgaming, master2023bytiktok","tiktokawardsvn2023, xuhuong, reviewbanphim, banphimbluetooth, banphimco, mofiivietnamofficial, mofii, banphimgaming, master2023bytiktok",False,948218
7410705483029351688,2024-09-04 15:42:13,Một chiếc bàn phím được lắp một bộ keycaps xuyên led chất lượng sẽ như thế nào #banphimco #banphim #banphimgaming #keyboard #keycaps ,vi,7388475733604500485,TechCo Shop,32900,629600,29300,296,3647,nhạc nền - TechCo Shop,13,"banphimco, banphim, banphimgaming, keyboard, keycaps","banphimco, banphim, banphimgaming, keyboard, keycaps",False,1571175
7432237804920311058,2024-11-01 16:18:37,Một chiếc bàn phím lung linh ZH980 #banphim #banphimco #keyboard #banphimgaming ,vi,7388475733604500485,TechCo Shop,32900,2400000,193500,1181,16200,Anatomy - Sped Up,15,"banphim, banphimco, keyboard, banphimgaming","banphim, banphimco, keyboard, banphimgaming",False,1100538
7419596220601076999,2024-09-28 14:42:51,"Tiếp tục với keycaps xuyên led , bộ keycaps XVX phiên bản đen vẫn rất nổi bật phải không anh em #banphim #keyboard #banphimco #banphimgaming #keycaps ",vi,7388475733604500485,TechCo Shop,32900,5600000,382800,2306,54700,nhạc nền - TechCo Shop,16,"banphim, keyboard, banphimco, banphimgaming, keycaps","banphim, keyboard, banphimco, banphimgaming, keycaps",False,1450719
7398135938360069392,2024-08-01 18:45:56,Aula f99 keyboard với những anh em thích bàn phím full size thì không được bỏ qua em này của nhà Aula #keyboard #banphimco #banphimgaming #banphim ,vi,7388475733604500485,TechCo Shop,32900,809000,25100,262,1100,nhạc nền - TechCo Shop,24,"keyboard, banphimco, banphimgaming, banphim","keyboard, banphimco, banphimgaming, banphim",False,1256360
7245663350116404486,2023-06-17 21:34:24,Bàn phím cơ nào mn ơi ❤️#xuhuongtiktok #banphimcokhongday ,vi,7237720594199495686,Lười Review 🌩️,1481,42300,565,37,80,nhạc nền - Lười Review 🌩️,10,"xuhuongtiktok, banphimcokhongday","xuhuongtiktok, banphimcokhongday",False,554793
7252201029578640646,2023-07-05 12:23:58,Bàn Phím Cơ ATAS ZA981 Liệu Có Thực Sự Tốt ? #cuongdiamond #review ,vi,6588658831335833601,Cường Diamond 💎,1200000,355500,7861,103,72,Ready,47,"cuongdiamond, review","cuongdiamond, review",True,1126474
7266373990048910600,2023-08-12 17:02:18,Bàn phím cơ máy tính - Bàn phím cơ trong suốt ♥️ #banphimcotrongsuot #banphimco #banphimgaming #banphimbluetooth #banphimmaytinh #banphimkhongday #keyboard #fyp #xuhuong #trend #banphim #xh #docongnghe #decor #chill #decoration 🌷🌷🌷,vi,7185059086873822235,Tiệm tạp hoá nhà Mèo 🌿,2242,64600,587,52,122,original sound,9,"banphimcotrongsuot, banphimco, banphimgaming, banphimbluetooth, banphimmaytinh, banphimkhongday, keyboard, fyp, xuhuong, trend, banphim, xh, docongnghe, decor, chill, decoration","banphimcotrongsuot, banphimco, banphimgaming, banphimbluetooth, banphimmaytinh, banphimkhongday, keyboard, fyp, xuhuong, trend, banphim, xh, docongnghe, decor, chill, decoration",False,1267301
7134663615868718362,2022-08-22 18:38:47,Bàn phím cơ phải khác chứ lị 👆 #review #manmanreview #banphimco #leuheu ,vi,6978057255087506434,Mẫn Mẫn Miladen Daily,57700,269700,14300,61,141,nhạc nền - Mẫn Mẫn Miladen Daily,53,"review, manmanreview, banphimco, leuheu","review, manmanreview, banphimco, leuheu",False,2380623
7250353141043023109,2023-06-30 12:53:16,Bàn phím đê bà con❤️#docongnghe #banphimcogaming #xuhuongtiktok ,vi,7237720594199495686,Lười Review 🌩️,1481,162000,2175,80,170,nhạc nền - Lười Review 🌩️,10,"docongnghe, banphimcogaming, xuhuongtiktok","docongnghe, banphimcogaming, xuhuongtiktok",True,360865
7380646800706882824,2024-06-15 15:39:10,Bàn phím cơ #banphimco #keycap punk #banphimgaming ,vi,7153452113862345733,Ở đây chỉ có bàn phím,3587,373400,3845,110,194,Chill Vibes,17,"banphimco, keycap, banphimgaming","banphimco, keycap, banphimgaming",False,1738174
7274291312168291585,2023-09-03 01:05:34,"Nút bàn phím cơ hình Lá Cờ Việt Nam 💕🇻🇳 Có nhận custom nút, in hình theo yêu cầu #keycaplácờ #keycapcustom #keycapresintindy #nutbanphimcoinhinh ",vi,7205478854058787867,Keycap Resin - TinDy,250,4942,29,18,7,nhạc nền - Keycap Resin - TinDy,8,"keycaplácờ, keycapcustom, keycapresintindy, nutbanphimcoinhinh","keycaplácờ, keycapcustom, keycapresintindy, nutbanphimcoinhinh",False,1065317
7228005820724808965,2023-05-01 07:34:14,bàn phím k2 pro#nghiensetup #banphimco #VietNamToiYeu ,vi,6982148599405773851,🪐 Quỳnh Da Đen 🪐,628,350200,6552,188,123,nhạc nền - 3 cùi,43,"nghiensetup, banphimco, vietnamtoiyeu","nghiensetup, banphimco, vietnamtoiyeu",False,1068358
7394475955714018567,2024-07-22 22:03:21,Mua mua thôi nào #banphimco #banphimmaytinh ,vi,7314534460878570497,Nhã nhỏ,11100,37500,270,7,7,nhạc nền - Nhã nhỏ,44,"banphimco, banphimmaytinh","banphimco, banphimmaytinh",False,912892
7186265869561974043,2023-01-08 20:01:54,Một chiếc bàn phím có màn hình Led quá xịn sò. Công nghệ của các pháp sư Trung Hoa thực sự đỉnh.  #banphimco #decor #homeelec #xuhuong ,vi,7135130737229235227,Home Elec ✅️,1190,4753,28,4,10,CAP,15,"banphimco, decor, homeelec, xuhuong","banphimco, decor, homeelec, xuhuong",False,494525
7137518336413322523,2022-08-30 11:16:32,Bàn phím cơ mà game thủ không thể thiếu #phimco #xuhuong #xuhuongtiktok #xuhuong2022 #tiktokshop ,vi,6805212862287266817,Phương Thành Computer,237400,161600,5218,120,56,nhạc nền - Hậu PC - Phương Thành Computer,62,"phimco, xuhuong, xuhuongtiktok, xuhuong2022, tiktokshop","phimco, xuhuong, xuhuongtiktok, xuhuong2022, tiktokshop",False,1900308
7345824976437529857,2024-03-13 19:32:43,Phòng 2 máy đôi #setupgaming #banphimco #setup #desksetup ,vi,7185807553934410753,Anh Công nhân setup,883,134000,7481,156,550,nhạc nền - 🚀𝟐𝟎𝟎𝟓 𝐌𝐔𝐒𝐈𝐂🎲,25,"setupgaming, banphimco, setup, desksetup","setupgaming, banphimco, setup, desksetup",False,1075769
7395089004489739528,2024-07-24 13:42:17,Bàn phím không dây M96 gõ êm không ồn và có thể kết nối được bluetooth hoặc 2.4G #paynanstore #phukienmaytinh #banphimkhongday #banphimbluetooth,vi,6928666104588731394,Paynanstore,11300,716700,2425,64,211,nhạc nền - Paynanstore,53,"paynanstore, phukienmaytinh, banphimkhongday, banphimbluetooth","paynanstore, phukienmaytinh, banphimkhongday, banphimbluetooth",True,593615
