,username,total_views,avg_views,total_likes,avg_likes,total_comments,total_shares,total_collects,total_videos,engagement_rate,post_freqency,food_related_videos,food_video_percentage
38,cao.minhtrang,43967100.0,354573.3870967742,759969.0,6128.782258064516,10725.0,45792.0,135513.0,124,0.021652531097115797,4.009484953703704,111,89.51612903225806
39,caogiang_chef,96507124.0,298783.66563467495,2084736.0,6454.2910216718265,56860.0,303734.0,577267.0,323,0.03131993654686052,1.9990798611111111,2,0.6191950464396285
40,chef_hugo_hieu,56067200.0,539107.6923076923,1854622.0,17832.903846153848,33912.0,64421.0,145821.0,104,0.03743322298955539,6.82380787037037,97,93.26923076923077
41,chichichanhchanh_day,42510689.0,147095.80968858133,1838201.0,6360.557093425606,27841.0,123034.0,238872.0,289,0.05240912467920715,1.3707667824074072,254,87.88927335640139
42,childhoodsnack,710422495.0,2650830.2052238807,29321700.0,109409.32835820895,268761.0,1201494.0,2307630.0,268,0.04659140896150818,1.0408101851851852,24,8.955223880597014
43,chuppywithropie,45959200.0,248428.1081081081,1708117.0,9233.064864864866,27346.0,164061.0,199887.0,185,0.045679885637696045,3.025121527777778,181,97.83783783783784
44,cobebicannn,169260767.0,416898.44088669954,2602306.0,6409.620689655172,29330.0,299282.0,780576.0,406,0.02192766856598257,1.8747685185185186,134,33.004926108374384
45,cocikyg,150323251.0,69755.56890951276,2136940.0,991.6194895591648,45.0,44719.0,134387.0,2155,0.015407403609172875,0.004681712962962963,0,0.0
46,cokkkinggggggg,191173.0,1137.9345238095239,4753.0,28.291666666666668,289.0,113.0,225.0,168,0.028142049347972778,0.5864583333333333,2,1.1904761904761905
47,comnhain,239199700.0,467186.9140625,6816967.0,13314.388671875,145515.0,889912.0,761821.0,512,0.036012649681416826,1.0061342592592593,504,98.4375
48,conluoireview,47895400.0,102340.5982905983,1285394.0,2746.568376068376,23260.0,379713.0,588780.0,468,0.04754416916864668,1.044664351851852,377,80.55555555555556
49,cothanquan,9586651.0,143084.3432835821,167234.0,2496.0298507462685,4381.0,52987.0,53278.0,67,0.028986139163718384,9.47040798611111,63,94.02985074626866
50,cuoideyyy,53999000.0,339616.3522012579,2015579.0,12676.59748427673,15438.0,35639.0,107743.0,159,0.04026739384062668,3.9409895833333333,68,42.76729559748428
51,daitiengnoianuong,25998032.0,89340.31615120274,815000.0,2800.687285223368,15387.0,199679.0,239846.0,291,0.048846466532543695,2.004175347222222,279,95.87628865979381
52,dajsytran.92,61226143.0,377939.15432098764,986685.0,6090.648148148148,20619.0,149325.0,251213.0,162,0.022994131771455862,1.1101851851851852,155,95.67901234567901
53,dancychun,52016150.0,207235.65737051793,2723736.0,10851.537848605578,18084.0,86103.0,221373.0,251,0.05862210102054843,1.976921296296296,205,81.67330677290838
54,diachi_anuong,132203472.0,238634.42599277978,4922082.0,8884.624548736461,55846.0,493157.0,764718.0,554,0.04716822414467299,1.031412037037037,543,98.014440433213
55,diadiemanuong,144846105.0,251906.2695652174,2435986.0,4236.497391304348,56378.0,374900.0,445234.0,575,0.022869085779006624,1.0,571,99.30434782608695
56,dianthoii_,85740800.0,275693.8906752412,2158448.0,6940.347266881029,43054.0,647121.0,989399.0,311,0.04476307662163171,2.000005787037037,310,99.67845659163987
57,dichoimoingay,137300059.0,219329.1677316294,4084814.0,6525.261980830671,97055.0,1388469.0,1355365.0,626,0.050442097770693604,0.977662037037037,68,10.86261980830671
58,didauofficial,73695187.0,160555.96296296295,1407693.0,3066.8692810457514,28700.0,212619.0,294055.0,459,0.02636626731132387,1.0069444444444444,451,98.25708061002179
59,didausaigon,97385467.0,251642.03359173128,2113238.0,5460.56330749354,34568.0,362495.0,558256.0,387,0.031509393490919954,1.0504600694444444,387,100.0
60,dieumi2019,57139882.0,601472.4421052631,1585578.0,16690.294736842105,15488.0,116024.0,487332.0,95,0.038579393636129666,4.05267650462963,91,95.78947368421052
61,djmievn,749230700.0,1495470.4590818363,34060127.0,67984.28542914172,292670.0,727775.0,800122.0,501,0.047890047751647125,1.0376649305555554,426,85.02994011976048
62,doiquatroioiii,38966000.0,512710.5263157895,1417929.0,18656.96052631579,11078.0,18878.0,60210.0,76,0.03870284350459375,3.5256828703703706,67,88.1578947368421
63,dongvanhung.official,4371200.0,874240.0,184800.0,36960.0,1668.0,538.0,4022.0,5,0.04370150073206442,141.0478877314815,0,0.0
64,ducanhhaman,22499257.0,108692.06280193236,699017.0,3376.8937198067633,13048.0,37330.0,63277.0,207,0.03611994831651552,2.1273466435185187,207,100.0
65,eatcleancungnhu,7909300.0,494331.25,461794.0,28862.125,11951.0,28048.0,19405.0,16,0.06589685560036919,2.030989583333333,0,0.0
66,eatwhning,65289576.0,197249.4743202417,1656462.0,5004.416918429003,22838.0,273717.0,272162.0,331,0.034081688629743895,1.989212962962963,322,97.2809667673716
67,eatwithhoen_,35585251.0,68433.175,947385.0,1821.8942307692307,24032.0,304552.0,323751.0,520,0.044954579637502066,1.0039351851851852,425,81.73076923076923
68,eatwpeach,302725800.0,867409.1690544413,11645593.0,33368.46131805157,50804.0,321327.0,718223.0,349,0.0420709004650413,1.3318287037037038,344,98.56733524355302
69,emlyreview,313633400.0,911725.0,13708822.0,39851.226744186046,49803.0,354103.0,696877.0,344,0.0472194766246197,1.9917592592592592,194,56.395348837209305
70,fahudiary,8375904.0,96274.75862068965,334469.0,3844.4712643678163,2395.0,12093.0,92531.0,87,0.05270929561752379,2.032042824074074,15,17.24137931034483
71,fancywithtrang_,55678627.0,284074.6275510204,1151079.0,5872.852040816327,34059.0,382717.0,485759.0,196,0.03688334484253716,3.0002951388888888,196,100.0
72,food_wanderlust,58250385.0,288368.2425742574,1078250.0,5337.8712871287125,40941.0,357510.0,435609.0,202,0.03282913924088227,3.0002430555555555,202,100.0
73,football.uk_,19184707.0,85265.36444444445,739075.0,3284.777777777778,2780.0,9555.0,37226.0,225,0.041107534245897005,1.1580758101851851,2,0.8888888888888888
74,gauto179,44213100.0,188140.8510638298,1080784.0,4599.08085106383,8290.0,32001.0,80235.0,235,0.02717090636033212,2.1782233796296295,186,79.14893617021276
75,gauvlogs1997,237028700.0,1044179.295154185,5955936.0,26237.603524229075,59865.0,159999.0,236012.0,227,0.02705078330176894,2.9847106481481482,201,88.54625550660793
76,genjadao,267781600.0,1075428.1124497992,6641851.0,26674.100401606425,39323.0,339629.0,1067557.0,249,0.03020506263313088,2.256119791666667,30,12.048192771084338
77,giadinhdidi,91773169.0,310044.48986486485,2597143.0,8774.131756756757,22887.0,18009.0,143535.0,296,0.0303092290514671,1.800306712962963,90,30.405405405405407
78,giang.ghin.chill,81403420.0,291768.5304659498,2335612.0,8371.36917562724,37859.0,571115.0,367112.0,279,0.040682541347771384,1.3228096064814816,261,93.54838709677419
79,gianggiamcan94,27405768.0,91965.6644295302,1088328.0,3652.1073825503354,28907.0,16099.0,88201.0,298,0.04457218640980979,1.9987152777777777,285,95.63758389261746
80,haidangrevieww,483652000.0,1904141.7322834646,18043753.0,71038.39763779528,158097.0,161987.0,674529.0,254,0.03936376981796829,2.2974537037037037,207,81.49606299212599
81,haiduaminhvuighe,12705359.0,189632.223880597,465089.0,6941.626865671642,9440.0,54728.0,100355.0,67,0.04955483745087408,8.634262152777778,65,97.01492537313433
82,haisieuvia,127080437.0,403429.95873015875,3370890.0,10701.238095238095,45130.0,218037.0,260419.0,315,0.03064575549106744,1.9853327546296295,158,50.15873015873016
83,halinhofficial,1002800000.0,5039195.979899498,32756100.0,164603.51758793968,524627.0,1151861.0,1627684.0,199,0.035959585161547666,3.4456047453703706,9,4.522613065326634
84,halongtrongbung,22721700.0,270496.4285714286,487066.0,5798.4047619047615,19015.0,32147.0,38818.0,84,0.025396251160784623,7.991828703703703,76,90.47619047619048
85,hanhhealthy_,2192672.0,20302.51851851852,68380.0,633.1481481481482,1464.0,926.0,4983.0,108,0.034548258927919906,5.680943287037038,4,3.7037037037037033
86,hanjiun,70324353.0,186536.74535809018,2349154.0,6231.1777188328915,52593.0,343395.0,351482.0,377,0.04403345168351567,1.2920399305555554,375,99.46949602122017
87,hanoiangi,159816621.0,395585.69554455444,4192765.0,10378.131188118812,76894.0,668311.0,867270.0,404,0.036324382055355806,1.1087094907407409,401,99.25742574257426
88,hao_thich_vao_bep,75225244.0,231462.28923076924,1086364.0,3342.6584615384613,31291.0,161014.0,294336.0,325,0.020910600170336437,0.9989785879629629,284,87.38461538461539
89,hapudayne,131892695.0,566063.0686695279,5601070.0,24038.92703862661,34497.0,79281.0,188414.0,233,0.04475806639632316,2.949435763888889,66,28.32618025751073
90,harburgery,203128000.0,971904.3062200957,14526895.0,69506.67464114832,37833.0,81716.0,365906.0,209,0.07390586231341814,2.9999971064814814,50,23.923444976076556
91,hasibkhan1171,480145800.0,1140488.8361045131,22724739.0,53978.002375296914,308929.0,1590528.0,3176320.0,421,0.05790015449473889,1.2554340277777778,1,0.23752969121140144
92,hellosolsol,156844500.0,866544.1988950276,8009448.0,44251.09392265193,29053.0,72454.0,210812.0,181,0.0530574358680094,3.22990162037037,168,92.81767955801105
93,himxngot,530574400.0,2368635.714285714,31531777.0,140766.86160714287,93531.0,292421.0,1039217.0,224,0.062115597737093985,2.733599537037037,135,60.26785714285714
94,hoanganhdeptrailam,435115100.0,2033248.1308411215,16920149.0,79066.1168224299,195426.0,495734.0,532894.0,214,0.04169977782890091,2.166145833333333,207,96.72897196261682
95,hoanganhvaobep,15016018.0,231015.66153846154,257051.0,3954.630769230769,4679.0,44413.0,92772.0,65,0.026565964425455536,1.9868229166666669,65,100.0
96,hoshiphan,118817500.0,1563388.1578947369,2685065.0,35329.80263157895,23113.0,58273.0,135583.0,76,0.02442429776758474,7.156689814814815,26,34.21052631578947
97,huong_67,316881700.0,825212.7604166666,6937988.0,18067.677083333332,142535.0,264115.0,356174.0,384,0.0243018514480325,1.0473148148148148,223,58.072916666666664
98,huynhanhtuan_dienvien,379629600.0,1512468.5258964144,11350304.0,45220.33466135458,108559.0,245885.0,583569.0,251,0.03236922779467144,2.364728009259259,223,88.84462151394422
99,ilovenaomip,229678890.0,564321.5970515971,5611745.0,13788.071253071254,37223.0,281448.0,346625.0,407,0.027329638348565687,1.3194010416666666,342,84.02948402948402
100,jaynitravel,21494835.0,119415.75,667002.0,3705.5666666666666,21521.0,197112.0,215906.0,180,0.05124677626043652,3.699369212962963,9,5.0
101,josephthexplorerofficial,13301532.0,192775.8260869565,735488.0,10659.246376811594,5758.0,12368.0,23593.0,69,0.05842988612138812,3.298958333333333,0,0.0
102,khaikhampha,257181900.0,635017.0370370371,8390052.0,20716.17777777778,90286.0,658503.0,1056085.0,405,0.03964091563208764,1.1666001157407406,402,99.25925925925925
103,khanhphuc1305,21183137.0,113887.83333333333,499117.0,2683.4247311827958,19279.0,34095.0,49520.0,186,0.028419350731669252,3.3338425925925925,186,100.0
104,khoasheep,13275995.0,126438.04761904762,480437.0,4575.590476190476,7832.0,127679.0,188689.0,105,0.060608413907959444,5.688116319444444,103,98.09523809523809
105,khoibepvagio,24632327.0,155900.80379746837,659192.0,4172.101265822785,19390.0,20230.0,43528.0,158,0.030136819797820968,3.032141203703704,151,95.56962025316456
106,kim_yen_en_gc,9405887.0,41803.94222222222,145436.0,646.3822222222223,4317.0,20062.0,47492.0,225,0.023103296903311723,2.0717708333333333,139,61.77777777777778
107,kudog_5339,615191061.0,458072.2717795979,10967189.0,8166.186895011169,138856.0,1310491.0,558573.0,1343,0.021091185848683844,0.5639872685185185,1190,88.60759493670885
108,kyn99er,99847214.0,234934.6211764706,2125268.0,5000.630588235294,64348.0,621275.0,518304.0,425,0.03334289327291596,1.2535590277777777,265,62.35294117647059
109,laaainebernardo,492521600.0,1356808.8154269971,17359940.0,47823.5261707989,135945.0,1034872.0,1281185.0,363,0.040225529195064745,1.8770283564814816,1,0.27548209366391185
110,langthangsaigon59,36905082.0,85825.77209302326,844689.0,1964.393023255814,28428.0,259979.0,266168.0,430,0.03791521178573726,1.170798611111111,338,78.6046511627907
111,lankhapsaigon,40688164.0,107356.63324538259,843993.0,2226.8944591029026,27086.0,283955.0,329467.0,379,0.036484836229032105,1.9587326388888888,240,63.3245382585752
112,lee.haydi,100271376.0,181980.71869328493,2081985.0,3778.557168784029,47102.0,355970.0,256978.0,551,0.027346139141443515,1.0225781250000001,458,83.12159709618875
113,lenkycungkhoa,176137340.0,494767.80898876407,4723931.0,13269.469101123595,58804.0,333783.0,519735.0,356,0.03199919449220705,1.7721875,348,97.75280898876404
114,letuanvu20,63271679.0,242420.22605363984,1441933.0,5524.6475095785445,39248.0,322766.0,181196.0,261,0.03137490629891456,2.008072916666667,187,71.64750957854406
115,lifeofcian,1078052200.0,4812733.035714285,78595378.0,350872.22321428574,372439.0,3812122.0,5218983.0,224,0.08162770040263356,2.9851157407407407,0,0.0
116,longlongneee,44409418.0,139214.47648902822,1317494.0,4130.075235109718,23303.0,261883.0,318994.0,319,0.04327176726342147,1.971273148148148,319,100.0
117,longquandui,38462661.0,151427.79921259842,1258108.0,4953.181102362205,22135.0,234833.0,289108.0,254,0.04690741496018697,2.035509259259259,240,94.48818897637796
118,lontodagi,64213900.0,1126559.649122807,4456123.0,78177.59649122808,36070.0,126471.0,160097.0,57,0.07441941697981279,7.0,55,96.49122807017544
119,lueating,40601040.0,160478.418972332,680122.0,2688.2292490118575,10344.0,89268.0,93471.0,253,0.021506961398033153,2.043582175925926,230,90.9090909090909
120,lyluclac28,38407111.0,254351.72847682118,1159022.0,7675.64238410596,14480.0,20840.0,69545.0,151,0.032907630047987725,3.0099971064814817,145,96.02649006622516
121,manhoangcao,402633500.0,1374175.7679180887,14739295.0,50304.76109215017,91260.0,204483.0,620536.0,293,0.03888293944741309,2.2854456018518516,210,71.67235494880546
122,manman0712,75879922.0,393160.2176165803,2242873.0,11621.103626943006,18811.0,213113.0,265867.0,193,0.03611843459723114,1.9889207175925927,188,97.40932642487047
123,miainkorea,342030500.0,1598273.3644859814,20993500.0,98100.46728971963,68795.0,95807.0,405687.0,214,0.06304639206152668,2.9907407407407405,21,9.813084112149532
124,minn.cookie,188018600.0,519388.39779005526,6696943.0,18499.842541436465,54600.0,502177.0,807400.0,362,0.04287405607743064,1.760324074074074,361,99.72375690607734
125,mokhoet_hanoi,51882067.0,355356.62328767125,1412525.0,9674.828767123288,19945.0,122573.0,177420.0,146,0.03339232802733168,3.263564814814815,145,99.31506849315068
126,monngonguiban,137265994.0,269149.00784313725,2671912.0,5239.043137254902,30259.0,365415.0,410394.0,510,0.025337520959488335,0.9837962962962963,495,97.05882352941177
127,mrj.vlogs,387205200.0,2175310.112359551,13321805.0,74841.60112359551,134637.0,586952.0,622782.0,178,0.037877011982277095,4.033368055555555,0,0.0
128,mukbang68682,8814641.0,36575.27385892116,134269.0,557.1327800829876,3038.0,2721.0,7776.0,241,0.016768011312088604,1.6578038194444444,190,78.83817427385893
129,muoidian,129601532.0,138463.17521367522,5140517.0,5492.005341880342,97739.0,718428.0,760198.0,936,0.05182718056141497,0.8312152777777778,935,99.8931623931624
130,muoitoday,174605323.0,695638.7370517928,5693337.0,22682.617529880477,271491.0,203589.0,352426.0,251,0.037346186748269984,2.2706105324074075,196,78.08764940239044
131,nangdausapa,205805100.0,683737.8737541528,3885220.0,12907.707641196013,75696.0,615034.0,266594.0,301,0.0235297570371191,2.0069791666666665,0,0.0
132,nartman.review,15192516.0,303850.32,568674.0,11373.48,4787.0,18104.0,30761.0,50,0.04096266872452199,12.001944444444446,24,48.0
133,nauancungn,40259109.0,100147.03731343284,580257.0,1443.4253731343283,21510.0,71140.0,126772.0,402,0.019863305966359067,1.1560069444444445,399,99.25373134328358
134,nauandelam.kongnc,271710243.0,734352.0081081081,5823506.0,15739.205405405406,88684.0,772458.0,1911204.0,370,0.03163609845949017,1.0123842592592591,363,98.1081081081081
135,naucunghang,99209891.0,324215.3300653595,1362690.0,4453.235294117647,44936.0,238529.0,335048.0,306,0.01996981329210411,1.0578356481481481,305,99.67320261437908
136,neooididau,41400188.0,107812.98958333333,1073970.0,2796.796875,17576.0,145205.0,127156.0,384,0.032944463923690395,1.7035127314814815,332,86.45833333333334
137,ng.hamii,61730156.0,97829.09033280508,1567263.0,2483.7765451664027,34276.0,517261.0,602223.0,631,0.04407931514056112,0.989230324074074,608,96.35499207606973
138,ngaymaibanangi,30807213.0,122737.90039840637,656334.0,2614.8764940239043,11340.0,147110.0,161651.0,251,0.0316950124634773,2.7643431712962965,246,98.00796812749005
139,nghetrinhhh,44412155.0,246734.19444444444,1511919.0,8399.55,10148.0,150284.0,513393.0,180,0.049214995309279634,2.0081018518518516,170,94.44444444444444
140,nglethuthuy,132256500.0,429404.2207792208,3183612.0,10336.402597402597,23434.0,275509.0,510579.0,308,0.03019234593384824,2.0016550925925927,268,87.01298701298701
141,ngoafood_,50765702.0,172087.1254237288,1900287.0,6441.650847457627,25221.0,138263.0,165137.0,295,0.04390578505149008,2.003859953703704,293,99.32203389830508
142,ngockhanhday,167521384.0,703871.3613445378,5412720.0,22742.52100840336,40430.0,64616.0,191044.0,238,0.034078097158032075,2.2949652777777776,18,7.563025210084033
143,ngocly2608,235122300.0,858110.5839416059,6888185.0,25139.361313868612,56792.0,86339.0,313422.0,274,0.03123794723001604,2.1933217592592595,168,61.31386861313869
144,ngocsfood,21248890.0,112427.98941798942,688065.0,3640.5555555555557,10625.0,139084.0,164274.0,189,0.04715766329441209,3.016880787037037,189,100.0
145,nguoingonanngon,43413724.0,103612.70644391408,1067841.0,2548.546539379475,31104.0,278746.0,354808.0,419,0.039906712448809965,1.05609375,417,99.52267303102626
146,nguyenchenno_,70434584.0,432114.01226993866,3760878.0,23072.87116564417,40464.0,256332.0,383878.0,163,0.06305924941645144,4.017384259259259,96,58.895705521472394
147,nguyenhimatto,243943600.0,838294.1580756013,8579380.0,29482.405498281787,65412.0,101745.0,297113.0,291,0.037072708609695026,2.0194039351851854,42,14.432989690721648
148,nguyentrungduongct,80744500.0,514296.178343949,1701263.0,10836.070063694267,12541.0,44958.0,106139.0,157,0.023096322350129112,3.5873148148148144,110,70.06369426751591
149,nh.bi.review,542992400.0,1616048.8095238095,12183557.0,36260.58630952381,137985.0,536534.0,562426.0,336,0.024715819226935772,1.9865046296296296,46,13.690476190476192
150,nhabinday,40151005.0,205902.58974358975,912890.0,4681.48717948718,12356.0,28233.0,89437.0,195,0.02597484172563053,3.015963541666667,140,71.7948717948718
151,nhandian,226641862.0,486355.9270386266,7725314.0,16577.92703862661,137136.0,737864.0,947384.0,466,0.04212680709444577,1.035474537037037,327,70.17167381974248
152,nhaphomaigovap,48789941.0,435624.47321428574,1292490.0,11540.089285714286,17282.0,89130.0,112149.0,112,0.030970543702850552,3.369346064814815,7,6.25
153,nhatlinh160519,50118479.0,205403.6024590164,754750.0,3093.2377049180327,16986.0,75797.0,189322.0,244,0.02068807794426483,2.082708333333333,224,91.80327868852459
154,nhinhidaibandoanh,20139122.0,120593.54491017964,601815.0,3603.682634730539,15752.0,61326.0,89740.0,167,0.038166162358021366,4.033275462962963,162,97.0059880239521
155,niengranghayan,28463215.0,118596.72916666667,800601.0,3335.8375,18526.0,227462.0,230976.0,240,0.04488477496305319,2.212390046296296,156,65.0
156,ninhtito,58735000.0,506336.2068965517,2351907.0,20275.060344827587,23671.0,203844.0,373717.0,116,0.050279032944581595,5.024155092592593,78,67.24137931034483
157,nuchuu.0401,96947660.0,277786.99140401144,4074821.0,11675.704871060172,35912.0,197867.0,349346.0,349,0.04804598687580494,1.9555266203703703,340,97.42120343839542
158,oneeatclean_918,1343117.0,11885.991150442478,22557.0,199.61946902654867,1424.0,319.0,1934.0,113,0.019532177762622317,4.975610532407408,55,48.67256637168141
159,papyayy,21369258.0,158290.8,1236441.0,9158.822222222223,17391.0,211707.0,606201.0,135,0.09694955248329165,4.175679976851852,7,5.185185185185185
160,phamtrang.2401,52481809.0,186768.00355871886,1288846.0,4586.640569395018,17601.0,254615.0,279773.0,281,0.03507567736470364,2.0057320601851854,260,92.52669039145907
161,phongvnguyntrn,48757628.0,198201.73983739837,1721535.0,6998.109756097561,35980.0,270813.0,393226.0,246,0.049665131371854264,2.392349537037037,224,91.05691056910568
162,phucphungphinh203,40869769.0,189211.8935185185,966318.0,4473.694444444444,18861.0,247548.0,336485.0,216,0.03839542131985135,2.6682986111111116,195,90.27777777777779
163,phuongoanh.daily,266180357.0,583728.8530701754,5681639.0,12459.734649122807,86119.0,149401.0,224947.0,456,0.02307497844403297,1.0089409722222222,357,78.28947368421053
164,ptkn220604,31894100.0,253127.77777777778,1206747.0,9577.357142857143,8959.0,23950.0,39012.0,126,0.04009105132297196,5.0395717592592595,0,0.0
165,putaangi,105485400.0,408858.1395348837,3355914.0,13007.418604651162,26083.0,145623.0,257296.0,258,0.03588094655753308,2.088391203703704,256,99.2248062015504
166,quankhonggo,503942400.0,1362006.4864864864,23961044.0,64759.57837837838,176507.0,833126.0,1323699.0,370,0.05217734407741837,1.112650462962963,310,83.78378378378379
167,reviewcuisine,423242605.0,867300.4200819673,9724377.0,19927.002049180326,217347.0,278270.0,618198.0,488,0.02560751652116875,1.002025462962963,480,98.36065573770492
168,reviewsaigon54,15635016.0,56444.10108303249,281405.0,1015.9025270758123,4615.0,57178.0,132848.0,277,0.030447426468895204,1.9992939814814814,209,75.45126353790613
