,author.uniqueId,total_views,avg_views,total_likes,avg_likes,total_comments,total_shares,total_collects,total_reposts,total_videos,followers,engagement_rate
5302,thungo3494,3466,3466.0,25,25.0,4,11,2,0,1,100,0.012117714945181766
5303,thuntuoither,9847584,703398.8571428572,208397,14885.5,6697,64408,68333,0,14,254000,0.03532186168708995
5304,thuocbaclanong,322339,322339.0,1893,1893.0,91,251,189,0,1,7110,0.007520033256912753
5305,thuoccoba,29621820,4936970.0,310744,51790.666666666664,9828,9416,31315,0,6,461100,0.01219719112465068
5306,thuong_toof,72889,72889.0,8143,8143.0,135,21,130,0,1,2166,0.11564159200976827
5307,thuongg150301,834733,417366.5,63053,31526.5,153,2188,4434,0,2,1300000,0.08365309625952251
5308,thuonglun2909,804,804.0,56,56.0,11,0,6,0,1,10700,0.09079601990049752
5309,thuongmoon.98,2559366,2559366.0,40827,40827.0,731,1031,532,0,1,1684,0.01684831321506967
5310,thuongnguyen.8769,422,422.0,16,16.0,8,4,4,0,1,1229,0.07582938388625593
5311,thuongnguyenn47,143420,143420.0,1423,1423.0,100,503,258,0,1,1178,0.015925254497280713
5312,thuongtapkyluat,6564,6564.0,228,228.0,9,11,20,0,1,86,0.04082876294942109
5313,thuongthuong_28089x,185094,185094.0,2286,2286.0,35,569,267,0,1,26500,0.017056198472127675
5314,thupearrr,3103920,3103920.0,93648,93648.0,1735,2893,5851,0,1,6847,0.033546934199335035
5315,thuquynh_95,8806149,1258021.2857142857,166726,23818.0,2548,21302,36685,0,7,114100,0.025807080938557818
5316,thuthao22102,50342,50342.0,5282,5282.0,438,29,69,0,1,15200,0.11556950458861388
5317,thuthaoo339,4252002,2126001.0,149085,74542.5,1007,7211,37853,0,2,21900,0.04589743843017948
5318,thuthuvi33,178,178.0,20,20.0,2,0,0,0,1,587,0.12359550561797752
5319,thutram2110,490028,81671.33333333333,8976,1496.0,302,3683,4822,0,6,18900,0.03628976303394908
5320,thuvan.70,132208,132208.0,1366,1366.0,339,4858,352,0,1,8272,0.052303945298317805
5321,thuvuisanran,575441,575441.0,1101,1101.0,24,22,145,0,1,2587,0.002245234524477748
5322,thuy.thothe85,1534,1534.0,5,5.0,0,1,0,0,1,21300,0.003911342894393742
5323,thuy.van.22,442,442.0,147,147.0,124,37,85,0,1,5373,0.8891402714932126
5324,thuy122661,5162,5162.0,25,25.0,9,8,2,0,1,566,0.008523827973653622
5325,thuy31071,450,450.0,53,53.0,1,0,1,0,1,270,0.12222222222222222
5326,thuy_heo99,2036,2036.0,91,91.0,5,3,6,0,1,23600,0.05157170923379175
5327,thuy_hutieu,572,572.0,40,40.0,11,0,0,0,1,65,0.08916083916083917
5328,thuy_linh55555,16639,16639.0,98,98.0,11,2,9,0,1,5422,0.007211971873309694
5329,thuy_vit11,35783,35783.0,831,831.0,0,9,84,0,1,2087,0.02582231786043652
5330,thuyanvat1,47684,47684.0,412,412.0,19,12,44,0,1,142,0.010213069373374717
5331,thuybinhsuashop,1535360,1535360.0,19927,19927.0,1026,579,1271,0,1,48000,0.014851891413088786
5332,thuychan_204,546815,546815.0,23219,23219.0,430,934,628,0,1,111900,0.0461051726818028
5333,thuychirii,1358979,1358979.0,13570,13570.0,147,557,1632,0,1,3172,0.011704375122794392
5334,thuydung9136,2309,2309.0,89,89.0,6,0,23,0,1,1197,0.051104374187960155
5335,thuyha23456,318451,318451.0,4541,4541.0,100,53,28,0,1,5933,0.01482802691779897
5336,thuyhaisantanbinh,10577,10577.0,38,38.0,14,11,9,0,1,136,0.006807223220194762
5337,thuyhanh_1493,185943,185943.0,10990,10990.0,7186,1993,1526,0,1,5931,0.11667554035376433
5338,thuykieu_2802,329139,329139.0,2122,2122.0,41,113,239,0,1,2500000,0.0076411485724876115
5339,thuylamdep,5226742,5226742.0,84126,84126.0,4534,347,813,0,1,18100,0.01718470129193291
5340,thuynga9981,1958,652.6666666666666,226,75.33333333333333,1,4,15,0,3,1233,0.12563840653728295
5341,thuyphan1409,15218,15218.0,52,52.0,18,1,6,0,1,3423,0.005059797608095676
5342,thuythuiiii,1279542,1279542.0,82474,82474.0,3737,62215,2311,0,1,5783,0.1178054335066766
5343,thuythuy4261,1262,1262.0,101,101.0,0,0,1,0,1,141,0.08082408874801902
5344,thuytien.do.0211,51366,51366.0,177,177.0,5,194,61,0,1,1517,0.008507573102830667
5345,thuytien07141983,10082477,10082477.0,232336,232336.0,5411,3287,13023,0,1,173800,0.025197875482383943
5346,thuytien_chipp,9245,9245.0,100,100.0,5,35,7,0,1,697,0.015900486749594375
5347,thuytrang0693,1401,467.0,24,8.0,0,0,1,0,3,949,0.017844396859386154
5348,thuytrinhtnt237,174648,174648.0,1348,1348.0,60,354,213,0,1,205900,0.01130846044615455
5349,thuyvaobepday,2523822,504764.4,54411,10882.2,1188,10611,20740,0,5,8917,0.03445171648396757
5350,thuyvx1102,2054237,2054237.0,5103,5103.0,217,57,536,0,1,14300,0.0028784409978011303
5351,thvynguyenn,1930002,1930002.0,40555,40555.0,368,3211,14083,0,1,211600,0.03016421744640679
5352,thw._19,347498,347498.0,20181,20181.0,196,1082,2424,0,1,3361,0.06872845311339922
5353,thwo.liin_,32,32.0,25,25.0,0,30,3,0,1,211,1.8125
5354,thy_huong171,27343,27343.0,675,675.0,55,118,152,0,1,39200,0.0365724317009838
5355,thyangicungduoc,669485,167371.25,12988,3247.0,455,6379,7306,0,4,23600,0.04052069874605107
5356,thypham.official,333535,333535.0,12709,12709.0,131,3838,4172,0,1,112300,0.06251218013102074
5357,thythydayneh,2934,2934.0,104,104.0,5,30,38,0,1,1036,0.06032719836400818
5358,ti.review13,71535,71535.0,1515,1515.0,66,720,1366,0,1,519,0.05126162018592297
5359,tianzhang0310,550503,550503.0,25019,25019.0,247,117,716,0,1,31000,0.047409369249577206
5360,tich_1029,8643,8643.0,722,722.0,27,10,74,0,1,611,0.09637857225500406
5361,tieentiton,2731343,2731343.0,164838,164838.0,1089,2767,13585,0,1,118900,0.06673603425128224
5362,tieguochen,62595229,62595229.0,1906473,1906473.0,5947,4126,20831,0,1,121600,0.030950873268632023
5363,tiem.tap.hoa.gia.lai,253057,253057.0,2495,2495.0,16,11,110,0,1,477,0.010400818787862023
5364,tiem_lau_cu_lao,147224,147224.0,1831,1831.0,243,163,72,0,1,122700,0.01568358419822855
5365,tiem_tap_hoa_online,126616,126616.0,900,900.0,64,147,623,0,1,227,0.013694951664876477
5366,tiemanbenho,105072,52536.0,1016,508.0,38,91,179,0,2,73400,0.012600883203898279
5367,tiemannhohoaiquan7,3474,3474.0,32,32.0,2,6,8,0,1,1723,0.013816925734024179
5368,tiemanvat96.96,3637846,1818923.0,87389,43694.5,1181,5868,5634,0,2,38400,0.0275085861248662
5369,tiemanvattrung.9696,2617287,2617287.0,115615,115615.0,1103,2934,6170,0,1,28800,0.04807344398990252
5370,tiembanhyennnhi,41,41.0,1,1.0,0,0,0,0,1,4054,0.024390243902439025
5371,tiembepnuc,1050334,1050334.0,10736,10736.0,155,4041,3085,0,1,3469,0.017153591143388675
5372,tiemcafetovo,9642261,4821130.5,364623,182311.5,5094,33768,33751,0,2,61300,0.04534579597046792
5373,tiemcaphe1989vuonlai,370,370.0,26,26.0,4,0,0,0,1,38,0.08108108108108109
5374,tiemcaphebinhminhoidalat,6423102,3211551.0,154371,77185.5,869,5638,17502,0,2,185200,0.02777162810118849
5375,tiemcaphemangdi,16440,16440.0,196,196.0,58,18,26,0,1,4802,0.018126520681265208
5376,tiemcaphetayho,4953547,1651182.3333333333,130223,43407.666666666664,2653,42258,34748,0,3,49900,0.042370043122635155
5377,tiemcaphetovo,6576602,2192200.6666666665,192953,64317.666666666664,5465,25264,33041,0,3,32500,0.03903581211087428
5378,tiemcombamthu1,1524718,1524718.0,34951,34951.0,502,250,790,0,1,913,0.02393426194220833
5379,tiemcuacom,1445355,1445355.0,9070,9070.0,79,151,863,0,1,829,0.007031490533467556
5380,tiemghientrasua_quan7,215939,107969.5,6393,3196.5,59,170,169,0,2,141000,0.03144869615956358
5381,tiemlaucaduoituananh,73251,24417.0,985,328.3333333333333,52,26,39,0,3,49800,0.01504416321961475
5382,tiemnhabaoboi2023,3929144,1964572.0,58691,29345.5,1075,2084,3063,0,2,3090,0.01652090124464769
5383,tiemnhaben.coffee,189460,189460.0,1227,1227.0,165,98,45,0,1,5707,0.008101974031457827
