Video ID,Bitrate,Codec Type,Quality Type
7255891314221288730,1014532,h265_hvc1,14
7255891314221288730,862386,h265_hvc1,28
7123411436407147802,1476901,h264,20
7123411436407147802,863514,h264,24
7123411436407147802,843705,h265_hvc1,14
7123411436407147802,658842,h265_hvc1,28
7076720413232942363,1638019,h264,20
7076720413232942363,1046756,h264,24
7076720413232942363,830809,h265_hvc1,14
7076720413232942363,666837,h265_hvc1,28
7403582729457044744,1107142,h264,20
7403582729457044744,884714,h265_hvc1,2
7403582729457044744,531879,h265_hvc1,14
7403582729457044744,444285,h265_hvc1,28
7028892840746945793,2474073,h264,20
7028892840746945793,1732604,h265_hvc1,14
7028892840746945793,1507659,h265_hvc1,28
7028892840746945793,1397491,h264,24
7298617631622302977,818078,h265_hvc1,2
7298617631622302977,709490,h264,20
7298617631622302977,634018,h265_hvc1,28
7298617631622302977,561472,h265_hvc1,14
7349143173647584520,1504841,h264,20
7349143173647584520,691320,h265_hvc1,28
7386806446572293384,1632820,h265_hvc1,2
7386806446572293384,1380435,h264,20
7386806446572293384,728309,h265_hvc1,14
7386806446572293384,596655,h265_hvc1,28
7259278508759862529,3644575,h264,10
7259278508759862529,2674083,h264,20
7259278508759862529,1823932,h265_hvc1,2
7259278508759862529,1453501,h264,24
7259278508759862529,1020256,h265_hvc1,14
7259278508759862529,795859,h265_hvc1,28
7367411242576661767,1263510,h264,20
7367411242576661767,546134,h265_hvc1,14
7367411242576661767,467788,h265_hvc1,28
7266295020137909505,309263,h265_hvc1,14
7266295020137909505,299019,h265_hvc1,2
7266295020137909505,256809,h265_hvc1,28
7266295020137909505,162521,h264,20
7266295020137909505,120738,h264,24
7433307838321085704,2319015,h264,20
7433307838321085704,1601588,h265_hvc1,2
7433307838321085704,944041,h265_hvc1,14
7433307838321085704,845813,h265_hvc1,28
7181856526963952923,1604936,h265_hvc1,2
7181856526963952923,1585342,h264,20
7181856526963952923,1007875,h265_hvc1,14
7181856526963952923,851950,h264,24
7181856526963952923,843295,h265_hvc1,28
7274886035203476778,1503142,h264,30
7236381995184442630,1483834,h264,20
7236381995184442630,1454309,h265_hvc1,2
7236381995184442630,932293,h265_hvc1,14
7236381995184442630,836675,h264,24
7236381995184442630,720491,h265_hvc1,28
7238946595440463109,2547851,h264,20
7238946595440463109,1638989,h265_hvc1,28
7238946595440463109,1547877,h264,24
7370228415854546192,1238617,h264,20
7370228415854546192,1026785,h265_hvc1,2
7370228415854546192,652245,h265_hvc1,14
7370228415854546192,547418,h265_hvc1,28
7372515794535697681,1208089,h264,20
7372515794535697681,864458,h265_hvc1,2
7372515794535697681,604737,h265_hvc1,14
7372515794535697681,497675,h265_hvc1,28
7265988522153118977,643219,h264,20
7265988522153118977,487225,h265_hvc1,2
7265988522153118977,372818,h264,24
7265988522153118977,363571,h265_hvc1,14
7265988522153118977,320539,h265_hvc1,28
7236976134804475142,1219946,h264,20
7236976134804475142,970078,h265_hvc1,2
7236976134804475142,668813,h265_hvc1,14
7236976134804475142,636959,h264,24
7236976134804475142,529417,h265_hvc1,28
7438270948878454023,3283403,h264,20
7438270948878454023,2152451,h265_hvc1,2
7438270948878454023,919525,h265_hvc1,14
7438270948878454023,738390,h265_hvc1,28
7361442563905178897,836189,h264,20
7361442563905178897,640232,h265_hvc1,2
7361442563905178897,418126,h265_hvc1,14
7361442563905178897,358266,h265_hvc1,28
7348744877397593352,1977229,h264,20
7348744877397593352,1948738,h265_hvc1,2
7348744877397593352,1162981,h265_hvc1,14
7348744877397593352,936305,h265_hvc1,28
7283730005132152072,1470497,h265_hvc1,2
7283730005132152072,1026117,h264,20
7283730005132152072,887947,h265_hvc1,14
7283730005132152072,706192,h265_hvc1,28
7101621027746090266,907131,h264,20
7101621027746090266,672295,h265_hvc1,14
7101621027746090266,579988,h265_hvc1,28
7101621027746090266,529212,h264,24
7381054895794818320,890621,h265_hvc1,2
7381054895794818320,651995,h264,20
7381054895794818320,484146,h265_hvc1,14
7381054895794818320,405631,h265_hvc1,28
7120057717728873755,796274,h264,20
7120057717728873755,682285,h265_hvc1,14
7120057717728873755,574955,h265_hvc1,28
7120057717728873755,455073,h264,24
7429876255153048849,735158,h264,20
7429876255153048849,368389,h265_hvc1,14
7429876255153048849,324463,h265_hvc1,28
7222503354629508378,1469762,h264,20
7222503354629508378,1279255,h265_hvc1,2
7222503354629508378,806412,h264,24
7222503354629508378,803427,h265_hvc1,14
7222503354629508378,662324,h265_hvc1,28
7122663704323280154,892634,h264,20
7122663704323280154,761286,h265_hvc1,14
7122663704323280154,684957,h265_hvc1,28
7355045079263808775,1423849,h264,20
7355045079263808775,1098470,h265_hvc1,2
7355045079263808775,710783,h265_hvc1,14
7355045079263808775,676037,h265_hvc1,28
7405152306192305425,675757,h264,20
7405152306192305425,653834,h265_hvc1,2
7405152306192305425,364242,h265_hvc1,14
7405152306192305425,317136,h265_hvc1,28
7420271901299199240,1438937,h265_hvc1,2
7420271901299199240,1353758,h264,20
7420271901299199240,625940,h265_hvc1,14
7420271901299199240,488856,h265_hvc1,28
7361403623009455361,829043,h264,20
7361403623009455361,518301,h265_hvc1,2
