Video ID,Anchor Type,Anchor Title
7403370202123062535,54,
7373155988226067720,54,
7399805813214252295,54,
7290014048840633602,35,
7453016058337758482,54,
7433307838321085704,54,
7370228415854546192,54,
7372515794535697681,54,
7372515794535697681,35,
7420271901299199240,35,
7292228850010819841,35,
7307154021855382786,35,
7398135938360069392,54,
7252201029578640646,35,
7266373990048910600,35,
7274291312168291585,54,
7394475955714018567,54,
7395089004489739528,35,
7466831505562651936,54,
7435505513292500240,28,
7191191111833111835,54,
7441703681835289887,54,
7441370619251412244,54,
7366856943140457735,54,
7430193228369988897,54,
7183943514525388038,54,
7444165923818327303,54,
7447896709188865312,54,
7458438336311594262,54,
7421178040161406216,54,
7448457512698907909,54,
7447298193034841349,54,
7354964611180842282,28,
7428677464647322911,54,
7221783162433686810,54,
7221783162433686810,35,
7356920206943407378,54,
7297110063783742721,54,
7215609371034717467,54,
7434178562711653633,54,
7396705806869138720,54,
7386083679841373472,54,
7407252562707090695,35,
7405189049738186002,54,
7242163618739916037,54,
7332151057432333569,54,
7461578574814891282,54,
7343867552164105490,54,
7432527642487737618,54,
7455329597580758293,54,
7294087436894817543,54,
7338753738749775122,54,
7452213061038968082,54,
7298583940527295745,54,
7427786707753274640,54,
7323870819363392776,54,
7422468727565733138,54,
7434131097954405639,54,
7422320899979742485,54,
7285003771896270081,54,
7352388873839840528,54,
7292306965622033671,54,
7430344766606347541,54,
7363160448604196114,54,
7453788760761830664,54,
7397038388710362386,54,
7429330783883496711,54,
7319832792211148034,54,
7378121043652644114,54,
7376298693118446866,54,
7328343019898391815,35,
7283877846093663489,35,
7339170453891697921,54,
7467924000514084101,54,
7467882874595724562,54,
7467784204126932270,28,
7462853641775648007,54,
7466081055703960838,28,
7464817430246837511,54,
7463192604138786066,54,
7463112084474121478,28,
7451953171934530832,54,
7462496974168788229,54,
7464531634461707526,54,
7393081135401585952,54,
7447215915202137362,54,
7287919627433217282,54,
7373998563187068161,54,
7370335961965776129,54,
7421201105650044168,54,
7465759589762452752,54,
7420468947511954696,54,
7400684073615674632,54,
7432633001164557586,54,
7388546658281344263,54,
7433812044526210322,54,
7373885124322053409,54,
7374021881831197960,54,
7467921465975901448,54,
7455188454654201096,54,
7369247141417454855,54,
7368007974599626000,54,
7387382242277969160,54,
7452739926296218898,54,
7372867218998086945,54,
7391835276361895176,54,
7449765057442991368,54,
7358445705075182856,54,
7353639607289924882,35,
7336792136869776660,54,
7287919627433217282,54,
7373493386252143889,54,
7458117378866433287,54,
7433812044526210322,54,
7369247141417454855,54,
7320295581493071122,54,
7362208313246797063,54,
7469819832226024712,54,
7470018171437665554,54,
7468263203387051272,54,
7457208458627108103,54,
7417866735631486216,54,
7428425595618479368,54,
7360378443202186514,54,
7347376764546518280,54,
7435869746169482503,54,
7327634146585627905,54,
7442556735941774610,54,
7445614227038964999,54,
7353179956878314770,54,
7435271613110570258,54,
7346604457746009346,54,
7231176390270274843,54,
7377984433111960853,54,
7343433540840787218,54,
7470038136693755144,54,
7460849092084681992,54,
7456432184027663624,54,
7365156204181556496,54,
7235135468109597958,54,
7320975201544473864,54,
7341018715728776450,54,
7341018715728776450,28,
7225132577504775429,54,
7456068906801794322,54,
7442855961141742891,54,
7196978142987291930,28,
7192896728125754651,28,
7393689394382703888,54,
7411090218905849105,54,
7367376544823528705,54,
7438093541018029319,54,
7155756151387278594,32,
7352410247207587088,54,
7442765435642072327,54,
7352373995993337089,54,
7254496595167743238,28,
7443758191286013192,54,
7342146713995562248,54,
7219970226656496922,35,
7349517787217448193,54,
7349517787217448193,35,
7293827076308716807,54,
7314154863569554690,54,
7453872004106685713,35,
7468685960335658248,54,
7468685960335658248,35,
7453851346672831765,54,
7453851346672831765,35,
7454146676354305301,35,
7467061414516100368,35,
7469424669158935815,54,
7469424669158935815,35,
7423214091273014546,54,
