Video ID,Hashtag ID,Hashtag Name,Hashtag View Count
7389486458689588481,18461340,thanhtam1107,0
7389486458689588481,1604496473403393,xuhuong,0
7389486458689588481,20105,trending,0
7389486458689588481,18973,cooking,0
7389486458689588481,1624957178815490,nauancungtiktok,0
7389486458689588481,1635387924586498,monngontainha,0
7389486458689588481,46088205,nauan,0
7389486458689588481,1608116289805313,amthuc,0
7264150534636997889,1636483010861062,learnontiktok,0
7264150534636997889,1636101895050242,ancungtiktok,0
7264150534636997889,7178054110091870209,utvevuon,0
7252259192420060443,10576599,chinafood,0
7252259192420060443,1660935873624065,amthucchina,0
7252259192420060443,39920911,asmrcooking,0
7252259192420060443,1680159550358530,asmrmukbangfood,0
7252259192420060443,1595417792951301,asrmvideos,0
7252259192420060443,5600217,mukbang,0
7252259192420060443,1614187711752194,amthuctrungquoc,0
7252259192420060443,33251874,cookingasmr,0
7252259192420060443,1596572958722053,mukbangasmr,0
7252259192420060443,1597049269764102,foodeatingasmr,0
7385897157091462408,11808345,chinsu,0
7385897157091462408,1668307843152898,hatnemchinsu,0
7385897157091462408,7273043457029963778,ngottomthomthit,0
7385897157091462408,7288947338855481352,cochinsukokanlovegia,0
7385897157091462408,7286649448699002881,nhieuhongiakodoi,0
7385897157091462408,1626979946617921,comnha,0
7385897157091462408,1599341507576834,monngonmoingay,0
7385897157091462408,1636101895050242,ancungtiktok,0
7290009506044529926,40404788,sapatv,0
7290009506044529926,1685491147888642,amthucchophien,0
7290009506044529926,1632235642364930,xuhuongtiktok,0
7399646734143507719,229207,fyp,0
7399646734143507719,5718,food,0
7399646734143507719,1604496473403393,xuhuong,0
7399646734143507719,1592528792523778,viraltiktok,0
7399646734143507719,1603586515419138,homnayangi,0
7399646734143507719,1613246296381446,leontiktok,0
7399646734143507719,1636101895050242,ancungtiktok,0
7399646734143507719,7399646512869916673,mucladaiduongnuongomhaisan,0
7399646734143507719,7332106796980502529,matbuthichnauan,0
7208499177830108422,1644516955140097,amthuctrunghoa,0
7208499177830108422,1668840074005506,trunghoafood,0
7208499177830108422,1599163184670722,foodtiktok,0
7208499177830108422,56941556,mubang,0
7208499177830108422,7034727372863569921,ancaytrungquoc,0
7208499177830108422,7185898969624084506,amthuctrunghoa234,0
7208499177830108422,5718,food,0
7208499177830108422,1664684864102402,monantrungquoc,0
7174625652451282222,1624957178815490,nauancungtiktok,0
7174625652451282222,1612019024843778,nauankhongkho,0
7174625652451282222,46088205,nauan,0
7174625652451282222,1678341183851521,thichlanau,0
7174625652451282222,1648635345902593,amthuctiktok,0
7174625652451282222,1677064557501441,naucungtiktok,0
7174625652451282222,1635387924586498,monngontainha,0
7174625652451282222,1636483010861062,learnontiktok,0
7174625652451282222,1637342470396934,fypシ,0
7174625652451282222,1608116289805313,amthuc,0
7174625652451282222,1636101895050242,ancungtiktok,0
7174625652451282222,1644516955140097,amthuctrunghoa,0
7403370202123062535,7219179346513592346,vanthuylinh191,0
7403370202123062535,1636483010861062,learnontiktok,0
7403370202123062535,1604496473403393,xuhuong,0
7403370202123062535,20884,viral,0
7403370202123062535,1636101895050242,ancungtiktok,0
7403370202123062535,1604611668845570,monngon,0
7403370202123062535,1608116289805313,amthuc,0
7403370202123062535,1606483961439234,buacomgiadinh,0
7403370202123062535,1599341507576834,monngonmoingay,0
7403370202123062535,1676233933026305,mênauan,0
7403370202123062535,1696256131142657,comnhangonnhat,0
7302819619935472904,1636101895050242,ancungtiktok,0
7302819619935472904,1603352934555649,ankhuya,0
7302819619935472904,73070727,anvat,0
7302819619935472904,37288308,andem,0
7302819619935472904,7076790565181849627,nghiềnănvặt,0
7302819619935472904,7237875242059300869,thichanvat6in1,0
7302819619935472904,1632235642364930,xuhuongtiktok,0
7302819619935472904,1582562928207885,tiktokfood,0
7302819619935472904,1609223735553026,phongtom,0
7302819619935472904,1666127273057281,sottacchambanhtrang,0
7302819619935472904,1697183500182529,sottac,0
7445612925357657360,1636101895050242,ancungtiktok,0
7445612925357657360,1636483010861062,learnontiktok,0
7445612925357657360,1702172859182081,anngonnaugon,0
7445612925357657360,31231947,nuocmam,0
7445612925357657360,1618034785652742,dainhat,0
7445612925357657360,7362098008718049297,nuocmamdainhat,0
7373155988226067720,1706612291356681,reviewanngon,0
7373155988226067720,1703009734171650,gaufood,0
7373155988226067720,7173623173538119706,eatwithhoen,0
7373155988226067720,7025399069648355354,angiquan10,0
7373155988226067720,1604496473403393,xuhuong,0
7373155988226067720,229207,fyp,0
7373155988226067720,20884,viral,0
7373155988226067720,1641236262278149,fypシ゚,0
7373155988226067720,1663935709411330,capcut,0
7332495337766014226,7219179346513592346,vanthuylinh191,0
7332495337766014226,20884,viral,0
7332495337766014226,1604496473403393,xuhuong,0
7332495337766014226,1608116289805313,amthuc,0
7332495337766014226,1604611668845570,monngon,0
7332495337766014226,1599341507576834,monngonmoingay,0
7332495337766014226,1676233933026305,mênauan,0
7332495337766014226,46088205,nauan,0
7332495337766014226,1624957178815490,nauancungtiktok,0
7332495337766014226,1626979946617921,comnha,0
7332495337766014226,1696256131142657,comnhangonnhat,0
