video_path,duration_seconds,subtitle_text
data/raw/videos\duongloithoi\duongloithoihaman_6917923251192679682.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_6924260873754217729.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_6929832808214957313.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_6936142323134827778.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_6941322938935250177.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_6942326917118921986.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_6943179940720430337.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_6960253529734778114.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_6968410253457198338.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_7056730634332507419.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_7347918260454558978.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_7351001420641897730.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_7394350602593111312.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_7441080328468368658.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_7444572920271129863.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_7444949406631218450.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoihaman_7464204009113439506.mp4,0,No subtitles found
data/raw/videos\duongloithoi\duongloithoireviewmoithu_7426196936346078485.mp4,0,No subtitles found
data/raw/videos\duongloithoi\hanh90tb_7467117267914984711.mp4,0,No subtitles found
data/raw/videos\duongloithoi\huexaykenhreviewmoithu_7466116938800860423.mp4,0,No subtitles found
data/raw/videos\duongloithoi\lienne98_7464852422519737607.mp4,0,No subtitles found
data/raw/videos\duongloithoi\lienne98_7466005637273603336.mp4,0,No subtitles found
data/raw/videos\duongloithoi\linhngo100295_7467169590833974536.mp4,0,No subtitles found
data/raw/videos\duongloithoi\maiphuong.giaovien_7467103829138607368.mp4,0,No subtitles found
data/raw/videos\duongloithoi\maiphuong.giaovien_7467716297200110866.mp4,0,No subtitles found
data/raw/videos\duongloithoi\nintrainghiem_7465895910346689800.mp4,0,No subtitles found
data/raw/videos\duongloithoi\nintrainghiem_7465996369170271495.mp4,0,No subtitles found
data/raw/videos\duongloithoi\th.thy.l744_7466189916020526343.mp4,0,No subtitles found
data/raw/videos\duongloithoi\thaothao0489_7467835410643700999.mp4,0,No subtitles found
data/raw/videos\duongloithoi\tienle5013_7467784485816339720.mp4,0,No subtitles found
data/raw/videos\duongloithoi\trung.923_7467807733706673415.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\anhbabeo.review_7397256641327959304.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\bangmoc325_7294831146322382098.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\banhunlatui_7466314024540589320.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\bimbumne_7446760653798395144.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\chamnha.15_7441811193846713608.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\chinoitro.daily_7368698678581693712.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\davoslingo_6988428576467029275.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\diepnoitro93_7345003824081374466.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\donglucsongmoingay_7004666044061158683.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\dungdanda90_7374972753075555601.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\hdcl_dogiadung_7408883819153083655.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\houseware70_7243258880195611905.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\khatienich_7456682027903945991.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\lanphuongchiase_7453719087957544200.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\meodanhchoban_7350897075342576903.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\meodanhchoban_7379093247357947144.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\meodanhchoban_7436980829856812306.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\meodanhchoban_7445900386440858888.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\meovat.80_7452618393707891986.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\meovatcuocsong.vn2_7463328516491185415.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\meovatcuocsong.vn2_7463707181322423570.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\meovatcuocsong227_7339180044004216071.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\mo.hay.cuc.sng71_7415620277163379975.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\ngocmin.review_7354273264002256136.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\ngocmin.review_7379965409438534919.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\nguyettoctem_7398402895361690898.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\nguyettoctem_7398771423789042962.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\nguyettoctem_7399284886189640967.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\nguynilinh_7366130995877203217.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\nhamaydiepphuong_7464826774074002706.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\papapetla_7396230790683708690.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\papapetla_7422548959157030152.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\phamthuchin66_7023296283800522010.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\phamthuchin66_7025417818917145882.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\phantrungnguyen37_7087235100957592858.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\pytagoshop_7325105567888837896.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\sen.hoong_7432237650372807954.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\shopdungcuthongminh_7363609643391749377.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\shopdungcuthongminh_7441148342618311943.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\shopgiadun.g_7311968070073994498.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\teedee_home8386_7229681504228527366.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\thiensamsung.ne_7451543535100169479.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\tiemcothoa1_7463346897533603080.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\toantrainghiem89_7384419776724012306.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\trangtienich1_7435905127757647111.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\trangtienich1_7446599635638045959.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\trangtienich1_7450734056041434375.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\truclinhchery_7178727752403553582.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\tungmatveo_7424369177861082375.mp4,0,No subtitles found
data/raw/videos\meovatcuocsong\_healthharmony__7340499295990254849.mp4,0,No subtitles found
data/raw/videos\sachhay\aria7014_7270431086721764614.mp4,0,No subtitles found
data/raw/videos\sachhay\atpbook.vn_7276653483120479490.mp4,0,No subtitles found
data/raw/videos\sachhay\atpbook.vn_7279973125385637121.mp4,0,No subtitles found
data/raw/videos\sachhay\booktokvietnam_7184412180110970138.mp4,0,No subtitles found
data/raw/videos\sachhay\brightday923_7315264317304163585.mp4,0,No subtitles found
data/raw/videos\sachhay\brightday923_7316904185901894913.mp4,0,No subtitles found
data/raw/videos\sachhay\conhantri_7405756962757020935.mp4,0,No subtitles found
data/raw/videos\sachhay\doanducdong_7165373270877834522.mp4,0,No subtitles found
data/raw/videos\sachhay\docsachmoingay2003_7234492930302414086.mp4,0,No subtitles found
data/raw/videos\sachhay\docsachmoingay2003_7372167098207931655.mp4,0,No subtitles found
data/raw/videos\sachhay\dongchaynangluong_7443766276452912392.mp4,0,No subtitles found
data/raw/videos\sachhay\growthwithlily_7354042217050213639.mp4,0,No subtitles found
data/raw/videos\sachhay\haminreview_7364783760539176200.mp4,0,No subtitles found
